Name PL_distance PL_unc MS_distance MS_unc
X101.9-Y141.9-N999 17577.66715825532 1890.0470426582935 16617.598720421065 21.530746830153475
X102.2-Y144.8-N1250 16716.629800281848 2146.8695894229304 18800.164340027884 24.358608339301814
X102.9-Y023.7-N739 17743.418559073114 1765.1253126288527 18957.536046373192 24.562508458961478
X103.9-Y144.5-N678 17826.873662083333 2374667.8390179113 19616.822838081607 25.416719542016104
X104.2-Y145.2-N704 16545.57716016428 1701.1241293133376 17816.62004965667 23.084270002668248
X104.5-Y148.0-N611 16437.16214043524 1701.4332659166957 16173.434987618208 20.95526194554363
X104.7-Y023.1-N698 19347.14567208991 350424.6518275202 20103.13366794233 26.046812706176212
X105.1-Y021.4-N579 18205.953362811942 1785.4548028011543 19407.139370049536 25.145041200239852
X106.6-Y023.2-N648 19743.65232577749 1845.5512746135025 22853.41365901864 29.610238637693733
X107.8-Y144.0-N834 16433.52010382813 1614.1972487911312 17284.9206283027 22.395368686448393
X107.9-Y147.1-N634 16500.129749986805 1691.884310169044 17807.50435704179 23.07245917047916
X110.3-Y022.8-N829 18240.4075820303 3265.051222650017 19960.510473589835 25.862021633688844
X111.1-Y079.1-N757 16314.185597899219 1841.877626102838 17222.781707119175 22.31485781343897
X112.0-Y037.4-N673 21991.596074478228 2866.876773099174 27489.295783349717 35.6167625664938
X117.1-Y080.0-N584 22557.583468619243 2876.7871427785003 23590.3206867961 30.565019103835315
X117.4-Y079.0-N684 21607.074210155894 2376.1632031665276 24172.34300186406 31.319121746825996
X124.2-Y065.6-N651 28669.48493215612 24033.58875670668 28938.27007137251 37.4941396222102
X127.9-Y062.0-N600 28425.46738173908 3291.407544924577 28765.872805312207 37.270771495912044
X130.2-Y062.8-N593 29794.977480371283 6366.0690542027805 4065.3964918618394 5.267368896259725
X130.3-Y068.7-N684 23573.317288730203 3661.5555460235764 26190.28784923008 33.93369081645084
X130.4-Y057.8-N607 25448.61426633328 34526.78054443 26886.486575516086 34.835727191942254
X130.7-Y068.2-N781 23726.98239959295 2560.5598552090796 26152.69757404243 33.88498662567349
X131.0-Y060.8-N563 24447.723077574177 3099.240998156831 28864.28392711975 37.39827878409236
X131.7-Y065.2-N748 24483.115687109155 2279.229891467876 29248.076466809678 37.89554316906098
X131.7-Y067.1-N903 23471.561607720858 2271.2650408280056 25517.32573682275 33.061761176537125
X131.9-Y059.1-N612 26292.117475063384 2808.935793840181 28969.59279202496 37.53472319747554
X132.5-Y169.8-N805 15187.992641993094 3178.1439499884823 14962.872051452865 19.386784782323094
X132.9-Y060.9-N772 28159.499113356982 3645.508047607663 31494.62426098665 40.80630377966733
X133.0-Y059.2-N714 29607.68134908607 25313.934636523572 30269.86216731207 39.21942934553682
X133.0-Y093.1-N584 21981.04690179038 2347.7058279768557 22551.45603432773 29.219004423892127
X133.2-Y057.1-N584 26272.081247347163 2749.3113539450496 28255.676528256645 36.60973092923432
X133.3-Y062.7-N615 28960.624331373587 3942.147803556503 31945.029903503404 41.38987605283719
X133.5-Y060.6-N548 24494.322366409076 2572.6783878939054 28487.75234080462 36.910422121111054
X133.7-Y059.7-N858 25979.702403557014 10145.671725717923 28433.83166994891 36.84055930081803
X134.5-Y061.1-N1189 27308.53403314792 3459.9390406951215 27205.58730892833 35.249173034509894
X134.5-Y066.4-N633 24892.39737319076 2579.74415773751 26504.467491038515 34.34076060076649
X135.1-Y094.1-N794 21819.081059093118 2231.4840620819414 25224.936919903445 32.682924877805135
X135.3-Y063.2-N791 28864.821131943172 9380.873004685012 26225.130819647122 33.97883543616886
X135.5-Y055.7-N613 25833.038904282446 103245.43535637704 24426.91754221161 31.64896362529728
X135.6-Y093.2-N787 21241.862987525634 2291.086536030946 22597.848710463153 29.279113527586972
X135.7-Y094.5-N739 21997.41385073956 2257.9707397139155 24081.724714742155 31.201711317616006
X135.8-Y059.8-N821 26069.783515878826 8376.856744087849 31721.289665549302 41.09998492595686
X136.4-Y066.1-N766 26600.4669212598 78028.66968177172 28765.872805312207 37.270771495912044
X137.3-Y061.7-N586 28943.108165327732 2965.154785325887 36675.25026600484 47.51863020013163
X137.4-Y056.9-N594 26141.04468794467 2501.4868703360503 30604.1449048527 39.65254589340683
X138.1-Y061.9-N692 27642.383743761748 3503.1138448739857 29014.797923779835 37.59329364821351
X138.1-Y062.5-N651 27759.888300531682 3532.54519662801 25825.678668435026 33.46128152942185
X139.9-Y062.3-N651 24828.868833256365 2358.6791295671314 27152.1524818059 35.17993970218299
X140.0-Y061.9-N500 25714.030834771213 2862.6004887555127 30583.35953444823 39.62561513430746
X142.2-Y061.4-N628 27273.14228422406 2764.8350931950367 28657.066234043235 37.12979524664382
X144.1-Y067.9-N1348 11545.92166327356 1197.9131892941937 12532.649009399112 16.238043623050537
X145.0-Y110.3-N679 21440.62395341707 4779.0956888580395 22432.15960101074 29.064436886987295
X148.2-Y151.3-N786 14673.938139534073 1606.7435087461713 15257.762727427345 19.768862638083146
X148.3-Y160.3-N714 17211.246757787732 1853.8029078634179 17853.22331381736 23.131695363399373
X148.5-Y159.2-N801 13974.137860754414 3110.8083377257185 14337.08207850699 18.57597416503525
X153.7-Y151.1-N849 16737.380534446118 1710.5872026402303 16639.84947627533 21.55957622958343
X155.6-Y162.1-N539 17767.0445862684 12711.649030086966 17276.596562985695 22.384583533553954
X155.8-Y159.5-N658 18526.66746142528 2416.9943400686193 17862.409433959023 23.143597445670647
X156.4-Y102.2-N1406 21269.32110600537 2248.1577560386745 21264.62423520102 27.551708796760387
X157.0-Y100.3-N804 22526.894339222505 1536127.3616886637 24240.982069518894 31.408054595259607
X157.1-Y151.9-N895 16122.43234599005 1597.6603802089842 4059.4485786665277 5.2596624270321
X157.3-Y101.7-N673 21723.6019173987 2235.564164581336 25102.850001640567 32.52474182304396
X158.2-Y101.2-N614 21220.187481471945 2066.485711956377 26768.13936717028 34.68238952722794
X158.3-Y034.6-N854 22500.84680157298 2228.32898988104 24677.579014753926 31.97373550095642
X158.8-Y101.0-N730 21862.236432815673 2120.7510472671506 22523.757203771005 29.183116175641477
X158.9-Y034.9-N619 22302.845855866603 2891.062453388469 21762.391398983626 28.196645466858
X159.7-Y157.9-N581 16465.032601290237 1757.2201266207292 18789.455045886254 24.34473274242574
X159.9-Y035.2-N783 22539.247646678345 2223.3035622814477 23028.687400780527 29.837333696573165
X160.6-Y164.7-N744 18003.239830964743 1762.4309693385353 20096.58434909515 26.038327020104415
X161.2-Y024.3-N521 28275.897728344804 3126.6623587446174 31837.774453855054 41.250909528769256
X161.6-Y023.7-N629 28967.69242693236 3150.629628626928 30218.54404321685 39.15293853923669
X162.3-Y037.4-N662 21709.015806008225 2243.053281539245 23739.966269753735 30.758908799640285
X162.8-Y024.4-N762 27249.985325294303 3397.584966582456 26349.6607856074 34.14018384847366
X163.0-Y025.1-N837 27053.828340249074 2654.875060913669 29660.215655035325 38.4295351536891
X163.0-Y034.8-N715 21507.135268025853 13023.879586984653 20195.50168676753 26.166490191593176
X163.4-Y037.0-N802 20110.95748648602 2167.7364090108185 17969.07932072067 23.28180527972093
X163.5-Y153.5-N777 15454.195656904152 1661.2684333735265 85.56805497301157 0.11086704880582679
X164.0-Y037.6-N1942 20868.60568863168 7779.785750157382 20390.957450952777 26.419734276130807
X164.5-Y159.3-N831 17609.07256809732 1692.6175726073336 18610.152187303906 24.112417320744786
X164.6-Y038.8-N614 19307.726611716247 1944.598994771433 24485.9055960911 31.725392047685528
X165.2-Y037.7-N663 22068.99485041965 2454.168879440219 25128.40518488625 32.55785263465507
X165.7-Y160.6-N1414 16034.732754096227 1962.121119119035 15243.459018716936 19.750329904433865
