Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S007520 -18.5119 22.8275 1.719e-18 1.838e-18 1.508e-18 0.0 114.42 0.0
S007521 -18.5954 22.8116 5.281e-23 1.233e-22 5.409e-22 0.0 117.52 0.0
S007522 -18.5049 22.8185 2.014e-22 4.557e-22 1.769e-21 0.0 114.46 0.0
S007523 -18.4794 22.8332 5.550e-18 5.116e-18 3.045e-18 0.0 112.82 0.0
S007524 -18.5063 22.8223 7.239e-19 7.817e-19 6.354e-19 0.0 113.95 0.0
S007525 -18.4246 22.8392 4.214e-19 5.028e-19 5.178e-19 0.0 112.43 0.0
S007526 -18.4969 22.8169 3.930e-19 4.804e-19 5.069e-19 0.0 113.45 0.0
S007527 -18.5043 22.8266 1.024e-19 1.244e-19 1.346e-19 0.0 113.43 0.0
S007528 -18.5112 22.818 4.174e-23 1.003e-22 4.456e-22 0.0 116.12 0.0
S007529 -18.5149 22.8222 1.684e-23 4.838e-23 3.108e-22 0.0 115.08 0.0
S007530 -18.4938 22.8238 1.761e-17 1.558e-17 8.347e-18 0.0 113.58 0.0
S007531 -18.5056 22.8312 5.651e-22 1.226e-21 4.336e-21 0.0 113.54 0.0
S007532 -18.4991 22.8286 2.533e-22 6.385e-22 3.078e-21 0.0 113.32 0.0
S007533 -18.5552 22.8224 2.558e-19 3.224e-19 3.653e-19 0.0 116.82 0.0
S007534 -18.5168 22.8286 9.273e-24 2.827e-23 2.098e-22 0.0 115.06 0.0
S007535 -18.5185 22.8278 1.834e-22 4.178e-22 1.608e-21 0.001 115.49 0.0
S007536 -18.4758 22.8262 2.318e-23 6.566e-23 4.163e-22 0.0 112.65 0.0
S007537 -18.5347 22.8183 3.529e-19 4.170e-19 4.210e-19 0.0 116.91 0.0
S007538 -18.5094 22.8246 9.431e-24 3.046e-23 2.536e-22 0.0 114.45 0.0
S007539 -18.5251 22.8259 2.413e-21 4.581e-21 1.247e-20 0.0 115.81 0.0
S007540 -18.5389 22.8226 2.983e-18 5.848e-18 1.639e-17 0.0 116.72 0.0
S007541 -18.5566 22.811 5.371e-22 1.120e-21 3.650e-21 0.0 116.97 0.0
S007542 -18.521 22.8263 7.906e-22 1.506e-21 3.982e-21 0.0 115.79 0.0
S007543 -18.5134 22.8134 1.134e-22 2.973e-22 1.638e-21 0.0 115.06 0.0
