Name X Y BlueF GreenF RedF Size RadialVelocity
DG0415 -37.3182 -33.3694 1.932e-15 1.384e-15 5.350e-16 280.8016 414.13
DG0416 -36.9006 -32.3037 7.649e-16 6.453e-16 2.641e-16 103.2522 407.27
DG0417 -36.6226 -33.7400 4.728e-16 4.016e-16 1.864e-16 182.3612 410.81
DG0418 -37.6497 -34.0576 5.046e-16 4.063e-16 1.831e-16 167.6849 407.48
DG0419 -37.4554 -33.9748 9.074e-16 7.961e-16 3.249e-16 115.007 409.53
DG0420 -36.4320 -32.9034 8.960e-16 8.372e-16 3.233e-16 106.5061 412.33
DG0421 -37.4669 -33.5568 5.288e-16 4.280e-16 1.746e-16 243.1316 409.8
DG0422 -37.2500 -33.0085 5.268e-16 3.943e-16 1.853e-16 274.0033 411.81
DG0423 -36.1561 -32.8209 7.418e-16 5.916e-16 2.241e-16 97.7515 411.59
DG0424 -38.4900 -33.5145 4.908e-16 4.603e-16 1.901e-16 139.0344 413.17
DG0425 -36.1865 -32.4681 6.600e-16 5.926e-16 2.611e-16 100.8327 412.33
DG0426 -36.9276 -33.9892 8.048e-16 6.560e-16 2.817e-16 136.0022 406.77
DG0427 -37.6352 -33.6178 8.253e-16 7.374e-16 2.848e-16 124.8537 409.41
DG0428 -36.7942 -33.2175 7.328e-16 6.225e-16 2.499e-16 112.3845 408.25
DG0429 -37.0467 -32.4386 5.434e-26 1.314e-27 5.828e-33 149.9498 413.26
DG0430 -38.5908 -33.4075 7.597e-16 6.797e-16 2.797e-16 129.3181 407.6
DG0431 -37.5927 -34.6422 7.337e-16 5.908e-16 2.301e-16 108.6048 408.25
DG0432 -37.2633 -33.2232 8.770e-16 5.990e-16 2.841e-16 114.9505 414.15
DG0433 -36.7739 -34.0973 7.333e-16 5.650e-16 2.654e-16 106.1853 412.73
DG0434 -37.7620 -32.6305 5.523e-26 1.474e-27 6.209e-33 145.3723 408.19
DG0594 -22.2545 -22.9410 2.659e-16 2.148e-16 9.603e-17 129.7991 599.83
DG0595 -22.0536 -22.7551 5.045e-16 3.805e-16 1.612e-16 63.3974 602.1
DG0596 -22.3362 -22.8315 3.530e-16 2.872e-16 1.423e-16 87.2917 600.61
DG0597 -22.1797 -23.0717 6.179e-26 1.678e-27 7.191e-33 85.5518 600.7
DG0598 -22.4124 -23.1386 3.410e-16 2.691e-16 1.297e-16 73.3458 602.27
DG0599 -22.1680 -22.8424 3.192e-16 2.662e-16 1.154e-16 72.6403 601.0
DG0734 4.4222 5.1963 9.570e-17 7.325e-17 3.743e-17 50.536 1063.63
DG0766 -35.1784 40.6673 4.627e-15 3.545e-15 1.623e-15 417.6926 120.8
DG1042 35.0023 27.3055 2.349e-15 1.880e-15 9.071e-16 655.4025 157.99
DG1043 34.5543 26.3684 9.723e-26 2.476e-27 1.153e-32 293.2844 159.17
DG1044 35.3039 27.5696 4.136e-15 3.346e-15 1.623e-15 298.292 160.0
DG1045 35.2748 26.5246 4.184e-15 2.986e-15 1.482e-15 261.7644 157.65
DG1046 36.2741 27.2505 9.520e-26 2.529e-27 1.225e-32 315.9974 160.16
DG1047 33.9496 27.3593 1.027e-25 2.469e-27 1.114e-32 287.438 156.95
DG1048 34.8121 27.7900 2.502e-15 2.059e-15 8.907e-16 326.7125 159.47
DG1049 35.1588 27.9527 3.595e-15 3.015e-15 1.247e-15 235.918 158.02
DG1050 36.6069 27.9254 3.366e-15 2.832e-15 1.259e-15 241.8592 159.81
DG1112 15.2869 -25.6723 3.800e-16 2.626e-16 1.011e-16 81.4136 1125.04
DG1113 15.1515 -25.4861 1.696e-25 4.327e-27 2.088e-32 53.9679 1125.06
DG1114 15.3689 -25.4149 1.490e-16 1.218e-16 5.010e-17 50.3794 1125.57
DG1115 15.1766 -25.4725 1.376e-16 1.174e-16 5.619e-17 49.2102 1128.15
DG1116 15.4966 -25.6064 1.725e-25 4.838e-27 2.062e-32 51.566 1128.12
DG1117 15.3074 -25.8144 1.226e-16 1.057e-16 4.456e-17 36.9456 1128.06
DG1118 15.2285 -25.7882 1.181e-16 1.041e-16 4.720e-17 47.34 1128.87
DG1119 15.3992 -25.6058 1.343e-16 1.038e-16 4.806e-17 37.8164 1127.25
DG1120 15.4170 -25.6681 1.295e-16 1.049e-16 4.716e-17 43.9131 1128.01
DG1121 15.1205 -25.7152 1.215e-16 1.031e-16 4.206e-17 45.5852 1125.36
DG1122 15.2802 -25.6875 1.626e-25 4.187e-27 2.057e-32 44.3541 1126.8
DG1123 15.4214 -25.8070 1.541e-25 4.576e-27 2.087e-32 54.7354 1125.88
DG1134 -22.7865 -17.8276 5.719e-16 4.206e-16 1.663e-16 136.4025 755.94
DG1135 -22.9385 -18.1412 8.906e-26 2.442e-27 1.065e-32 75.4311 758.37
DG1136 -22.9274 -17.7939 1.468e-16 1.247e-16 5.500e-17 123.0896 753.75
DG1137 -22.4204 -17.8196 3.272e-16 2.650e-16 1.051e-16 56.7099 755.38
