Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S038153 -22.4526 -39.1914 1.709e-21 2.582e-21 4.494e-21 0.0 100.4 0.0
S038156 -22.4478 -39.2052 3.610e-19 3.441e-19 2.277e-19 0.0 100.11 0.0
S038157 -22.4345 -39.1981 9.116e-22 1.507e-21 3.103e-21 0.0 99.74 0.0
S038158 -22.4252 -39.1382 4.741e-20 5.733e-20 6.207e-20 0.0 99.91 0.0
S038159 -22.3633 -39.1269 5.633e-21 8.498e-21 1.376e-20 0.0 99.32 0.0
S038160 -22.4013 -39.2099 2.109e-18 1.868e-18 1.054e-18 0.0 99.29 0.0
S038161 -22.4124 -39.185 1.620e-20 2.017e-20 2.301e-20 0.0 99.17 0.0
S038162 -22.4213 -39.1671 6.349e-14 4.598e-14 1.815e-14 0.0 99.5 0.0
S038163 -22.5667 -39.2034 1.140e-22 2.040e-22 4.810e-22 0.0 100.66 0.0
S038167 -22.4539 -39.1889 1.150e-19 1.189e-19 8.978e-20 0.001 100.6 0.0
S038168 -22.4993 -39.1924 5.774e-20 6.565e-20 6.219e-20 0.0 100.82 0.0
S038170 -22.3578 -39.2133 3.955e-15 2.608e-15 7.958e-16 0.0 99.15 0.0
S038171 -22.4712 -39.1998 1.928e-18 1.653e-18 8.732e-19 0.0 100.6 0.0
S038172 -22.453 -39.1853 1.033e-20 1.397e-20 1.822e-20 0.0 100.5 0.0
S038173 -22.4322 -39.1928 2.377e-21 3.960e-21 8.037e-21 0.0 99.58 0.0
S038175 -22.4268 -39.2401 5.584e-22 1.086e-21 3.166e-21 0.0 99.44 0.0
S038176 -22.4102 -39.1778 3.331e-21 4.981e-21 8.522e-21 0.0 99.29 0.0
S038177 -22.4324 -39.1628 1.318e-22 2.531e-22 7.069e-22 0.0 99.98 0.0
S038178 -22.5178 -39.2764 2.125e-21 3.463e-21 6.845e-21 0.0 100.35 0.0
S038179 -22.6761 -39.6364 8.678e-22 1.456e-21 3.181e-21 0.0 100.16 0.0
S038180 -22.3861 -39.139 4.027e-19 3.930e-19 2.705e-19 0.0 99.38 0.0
S038182 -22.4376 -39.1942 3.185e-21 5.050e-21 9.160e-21 0.0 99.64 0.0
S038185 -21.994 -38.8571 2.095e-22 4.178e-22 1.304e-21 0.0 99.2 0.0
S038186 -22.2875 -39.1581 1.372e-22 2.730e-22 8.068e-22 0.0 99.0 0.0
S038187 -22.4422 -39.1982 5.346e-21 7.627e-21 1.195e-20 0.0 99.95 0.0
S038189 -22.444 -39.1754 1.441e-22 2.744e-22 7.599e-22 0.0 100.24 0.0
S038190 -22.4309 -39.1502 6.079e-20 7.249e-20 7.203e-20 0.0 100.11 0.0
S038191 -22.3709 -39.3243 4.120e-20 4.802e-20 4.843e-20 0.0 99.24 0.0
S038192 -22.4365 -39.1835 2.153e-22 4.029e-22 1.029e-21 0.0 100.22 0.0
S038194 -22.446 -39.3363 7.539e-21 1.086e-20 1.659e-20 0.0 99.93 0.0
S038195 -22.5052 -39.2429 1.995e-21 3.194e-21 6.002e-21 0.0 100.5 0.0
S038198 -22.409 -39.2065 1.454e-22 3.045e-22 1.020e-21 0.0 99.27 0.0
S038200 -22.4361 -39.2023 3.588e-19 3.563e-19 2.503e-19 0.0 99.76 0.0
S038202 -22.3483 -39.2168 1.554e-20 1.981e-20 2.448e-20 0.0 99.25 0.0
S038204 -22.4726 -39.4243 3.245e-22 5.777e-22 1.364e-21 0.0 99.59 0.0
S038205 -22.4344 -39.1914 4.134e-21 6.220e-21 1.023e-20 0.0 99.61 0.0
S038206 -22.4296 -39.1931 1.029e-20 1.380e-20 1.879e-20 0.0 99.56 0.0
S038207 -22.4251 -39.1788 1.317e-21 2.193e-21 4.492e-21 0.0 99.29 0.0
S038212 -22.4632 -39.188 1.377e-21 2.269e-21 4.673e-21 0.0 100.61 0.0
S038213 -22.4795 -39.4502 2.552e-22 4.388e-22 9.621e-22 0.0 99.73 0.0
S038214 -22.4476 -39.1032 4.026e-22 7.295e-22 1.819e-21 0.0 100.15 0.0
S038215 -22.3988 -39.2373 8.226e-14 7.391e-14 4.111e-14 0.0 99.58 1.0
S038216 -22.4366 -39.185 1.883e-14 1.283e-14 4.317e-15 0.0 99.94 0.0
S038218 -22.3979 -39.1363 2.393e-21 3.668e-21 6.432e-21 0.0 99.53 0.0
S038221 -22.4393 -39.165 1.660e-21 2.802e-21 6.143e-21 0.0 100.05 0.0
S038222 -22.4322 -39.2924 3.533e-21 4.962e-21 7.467e-21 0.0 99.65 0.0
S038223 -22.445 -39.1964 1.499e-18 1.283e-18 6.805e-19 0.0 100.12 0.0
S038225 -22.4372 -39.1863 7.889e-15 5.302e-15 1.671e-15 0.0 100.05 0.0
S038227 -22.4357 -39.1828 2.262e-20 2.927e-20 3.494e-20 0.0 99.92 0.0
S038228 -22.4603 -39.0631 5.025e-19 4.901e-19 3.259e-19 0.0 100.5 0.0
S038229 -22.3418 -39.1779 4.753e-22 8.537e-22 2.101e-21 0.0 99.1 0.0
S038234 -22.4483 -39.1086 1.876e-21 3.102e-21 6.264e-21 0.0 100.25 0.0
S038235 -22.4436 -39.1789 9.075e-20 9.920e-20 8.722e-20 0.0 100.39 0.0
S038236 -22.4589 -39.163 7.666e-19 7.347e-19 4.811e-19 0.0 100.31 0.0
S038237 -22.4277 -39.1529 1.560e-18 1.412e-18 8.286e-19 0.0 99.9 0.0
S038240 -22.4633 -39.1219 1.128e-20 1.515e-20 1.948e-20 0.0 100.42 0.0
S038241 -22.5149 -39.2414 1.817e-19 1.886e-19 1.409e-19 0.0 100.56 0.0
S038242 -22.4755 -39.1213 8.400e-19 1.684e-18 5.109e-18 0.0 100.56 0.0
S038247 -22.2363 -38.9174 4.569e-22 8.802e-22 2.386e-21 0.0 99.6 0.0
S038249 -22.419 -39.1648 8.684e-20 1.038e-19 1.055e-19 0.0 99.69 0.0
S038250 -22.3964 -39.2721 3.054e-18 2.580e-18 1.295e-18 0.0 99.42 0.0
S038251 -22.6429 -39.4999 8.093e-19 1.353e-18 2.893e-18 0.0 100.27 0.0
S038252 -22.4406 -39.2099 7.182e-20 7.939e-20 7.234e-20 0.0 99.71 0.0
S038255 -22.4323 -39.2035 1.849e-20 2.270e-20 2.576e-20 0.0 99.45 0.0
S038256 -22.3808 -39.2887 2.829e-21 4.081e-21 6.309e-21 0.0 99.38 0.0
S038258 -22.493 -39.1764 1.623e-21 2.630e-21 5.372e-21 0.0 100.66 0.0
S038259 -22.4338 -39.1647 1.391e-22 2.735e-22 8.110e-22 0.001 99.95 0.0
S038262 -22.4741 -39.235 4.161e-22 7.801e-22 2.133e-21 0.0 100.13 0.0
S038263 -22.3892 -39.1618 6.282e-14 4.544e-14 1.738e-14 0.0 99.4 0.0
S038266 -22.4018 -39.1675 4.134e-20 4.725e-20 4.640e-20 0.0 99.47 0.0
S038267 -22.4383 -39.1778 1.065e-21 1.847e-21 4.177e-21 0.0 100.08 0.0
S038268 -22.4751 -39.208 9.207e-21 1.236e-20 1.627e-20 0.0 100.39 0.0
S038269 -22.4567 -39.1582 3.651e-20 4.378e-20 4.449e-20 0.0 100.61 0.0
S038270 -22.4433 -39.1829 7.483e-21 1.099e-20 1.755e-20 0.0 100.38 0.0
S038273 -22.4641 -39.1731 1.227e-20 1.728e-20 2.430e-20 0.0 100.61 0.0
S038275 -22.4534 -39.1758 1.163e-21 2.019e-21 4.434e-21 0.0 100.28 0.0
S038276 -22.4504 -39.2026 1.763e-19 1.811e-19 1.372e-19 0.0 100.17 0.0
S038277 -22.4183 -39.1791 7.891e-20 8.956e-20 8.480e-20 0.0 99.64 0.0
S038278 -22.4388 -39.1898 9.585e-21 1.232e-20 1.479e-20 0.0 100.06 0.0
S038281 -22.443 -39.1678 1.281e-19 1.318e-19 1.024e-19 0.0 100.18 0.0
S038285 -22.485 -39.2163 9.212e-22 1.552e-21 3.409e-21 0.0 100.44 0.0
S038286 -22.3952 -39.1709 3.786e-20 4.969e-20 6.190e-20 0.0 99.25 0.0
S038288 -22.4665 -39.1722 5.789e-19 5.653e-19 3.880e-19 0.0 100.47 0.0
S038289 -22.4403 -39.2166 4.593e-19 4.462e-19 3.077e-19 0.0 99.69 0.0
S038290 -22.4438 -39.1591 1.905e-22 3.642e-22 1.022e-21 0.0 100.37 0.0
S038292 -22.4293 -39.1326 2.859e-22 4.890e-22 1.095e-21 0.0 100.1 0.0
S038294 -22.4341 -39.1683 1.251e-18 2.082e-18 4.206e-18 0.0 100.07 0.0
S038295 -22.3881 -39.163 2.321e-22 4.396e-22 1.219e-21 0.0 99.06 0.0
S038296 -22.4597 -39.1805 2.022e-19 1.955e-19 1.340e-19 0.001 100.43 0.0
S038297 -22.4401 -39.167 7.921e-21 1.142e-20 1.709e-20 0.0 100.66 0.0
S038298 -22.4311 -39.2228 8.394e-21 1.137e-20 1.567e-20 0.0 99.67 0.0
S038299 -22.4573 -39.2455 6.151e-21 9.365e-21 1.618e-20 0.0 99.95 0.0
S038300 -22.4721 -39.1993 2.657e-22 4.984e-22 1.304e-21 0.0 100.46 0.0
S038301 -22.3663 -39.1742 4.001e-21 5.513e-21 7.982e-21 0.0 99.0 0.0
S038302 -22.4532 -39.1902 1.260e-17 2.814e-17 1.074e-16 0.0 100.36 1.0
S038304 -22.4337 -39.1759 2.855e-19 2.915e-19 2.220e-19 0.0 99.89 0.0
S038305 -22.4323 -39.1571 7.745e-19 1.382e-18 3.413e-18 0.0 100.16 0.0
S038306 -22.4714 -39.1868 1.559e-18 1.372e-18 7.493e-19 0.0 100.61 0.0
S038310 -22.4389 -39.2088 7.966e-19 1.393e-18 3.292e-18 0.0 99.85 0.0
S038311 -22.4455 -39.1315 9.425e-21 1.316e-20 1.964e-20 0.0 100.17 0.0
S038312 -22.4695 -39.1621 1.340e-20 1.858e-20 2.743e-20 0.0 100.63 0.0
S038313 -22.4574 -39.1893 2.399e-21 3.955e-21 7.831e-21 0.0 100.57 0.0
S038314 -22.4678 -39.2111 5.191e-22 9.274e-22 2.260e-21 0.0 100.43 0.0
S038315 -22.4733 -39.2179 8.447e-19 7.499e-19 4.377e-19 0.0 100.32 0.0
S038316 -22.4484 -39.1728 7.352e-20 8.607e-20 8.393e-20 0.0 100.32 0.0
S038317 -22.4136 -39.1459 6.708e-22 1.175e-21 2.788e-21 0.0 99.64 0.0
S038319 -22.4671 -39.1988 4.523e-20 5.375e-20 5.446e-20 0.0 100.54 0.0
S038320 -22.467 -39.2556 7.897e-21 1.166e-20 1.880e-20 0.0 100.05 0.0
S038321 -22.4482 -39.2244 3.925e-21 5.816e-21 9.416e-21 0.0 99.96 0.0
S038322 -22.4381 -39.1793 3.117e-20 3.867e-20 4.420e-20 0.0 100.11 0.0
S038323 -22.4288 -39.1495 3.189e-18 7.143e-18 2.816e-17 0.0 100.05 1.0
S038325 -22.4646 -39.1546 1.035e-19 1.162e-19 1.041e-19 0.0 100.49 0.0
S038326 -22.4571 -39.179 6.158e-21 9.311e-21 1.590e-20 0.0 100.59 0.0
S038327 -22.4852 -39.2305 1.306e-21 2.133e-21 4.129e-21 0.0 100.52 0.0
S038328 -22.4518 -39.1534 5.557e-22 9.688e-22 2.209e-21 0.0 100.31 0.0
S038329 -22.4638 -39.2268 1.664e-19 1.693e-19 1.274e-19 0.0 100.26 0.0
S038330 -22.4376 -39.2073 1.126e-18 1.874e-18 3.981e-18 0.0 99.81 0.0
S038331 -22.4414 -39.2176 7.966e-19 1.635e-18 5.159e-18 0.0 99.82 0.0
S038332 -22.4047 -39.1849 9.510e-19 8.556e-19 4.998e-19 0.0 99.23 0.0
S038333 -22.4473 -39.1793 2.549e-22 4.486e-22 1.015e-21 0.0 100.43 0.0
S038334 -22.4483 -39.1691 4.347e-20 5.314e-20 5.714e-20 0.0 100.27 0.0
S038335 -22.4537 -39.2414 1.114e-18 1.874e-18 4.106e-18 0.0 99.86 0.0
S038336 -22.4236 -39.1717 1.287e-18 2.372e-18 6.127e-18 0.0 99.69 0.0
S038337 -22.4179 -39.1504 1.927e-18 3.831e-18 1.183e-17 0.0 99.81 0.0
S038338 -22.442 -39.1965 1.170e-17 8.676e-18 3.546e-18 0.0 99.88 0.0
S038339 -22.4515 -39.1696 4.198e-21 5.863e-21 8.487e-21 0.0 100.3 0.0
S038341 -22.4522 -39.1639 2.841e-22 5.556e-22 1.596e-21 0.0 100.43 0.0
S038342 -22.4017 -39.1769 2.508e-21 3.773e-21 6.371e-21 0.0 99.39 0.0
S038345 -22.4159 -39.1919 7.862e-19 7.440e-19 4.815e-19 0.0 99.33 0.0
S038346 -22.4154 -39.1766 1.511e-20 2.004e-20 2.524e-20 0.0 99.42 0.0
S038349 -22.4278 -39.2318 3.452e-20 4.072e-20 4.215e-20 0.0 99.7 0.0
S038350 -22.4564 -39.1809 1.803e-19 1.827e-19 1.396e-19 0.0 100.52 0.0
S038351 -22.4071 -39.1639 7.615e-20 8.317e-20 7.088e-20 0.0 99.47 0.0
S038352 -22.4188 -39.2239 4.600e-18 3.857e-18 2.051e-18 0.0 99.5 0.0
S038353 -22.429 -39.1276 3.784e-18 6.256e-18 1.288e-17 0.0 100.21 0.0
S038354 -22.4089 -39.1961 6.229e-21 8.830e-21 1.309e-20 0.0 99.33 0.0
S038355 -22.4418 -39.1656 3.738e-20 4.454e-20 4.586e-20 0.0 100.31 0.0
S038357 -22.4645 -39.1732 8.815e-19 1.650e-18 4.413e-18 0.0 100.52 0.0
S038359 -22.4289 -39.1629 2.343e-18 3.833e-18 7.821e-18 0.0 99.98 0.0
S038360 -22.4174 -39.2014 2.437e-19 2.753e-19 2.460e-19 0.0 99.36 0.0
S038361 -22.4488 -39.142 8.667e-19 7.612e-19 4.353e-19 0.0 100.32 0.0
S038363 -22.4473 -39.2147 5.604e-18 4.690e-18 2.309e-18 0.0 99.98 0.0
S038364 -22.4631 -39.1877 1.246e-21 2.127e-21 4.567e-21 0.0 100.65 0.0
S038366 -22.4346 -39.1889 1.769e-19 1.812e-19 1.412e-19 0.0 99.68 0.0
S038368 -22.3989 -39.1754 5.159e-20 5.895e-20 5.805e-20 0.0 99.19 0.0
S038369 -22.3881 -39.1428 7.630e-18 6.263e-18 3.104e-18 0.0 99.42 0.0
S038370 -22.4254 -39.2029 7.125e-19 6.523e-19 3.816e-19 0.0 99.59 0.0
S038371 -22.4163 -39.1996 8.165e-14 6.779e-14 3.505e-14 0.0 99.4 1.0
S038372 -22.4356 -39.2017 1.353e-18 1.208e-18 6.852e-19 0.0 99.61 0.0
S038373 -22.4286 -39.2127 1.488e-19 1.567e-19 1.238e-19 0.0 99.65 0.0
S038374 -22.429 -39.14 6.283e-20 6.554e-20 5.054e-20 0.0 99.96 0.0
S038376 -22.4611 -39.1976 8.021e-21 1.183e-20 1.874e-20 0.0 100.35 0.0
S038377 -22.4491 -39.1757 2.053e-20 2.693e-20 3.392e-20 0.0 100.57 0.0
S038378 -22.4432 -39.1966 1.060e-19 1.133e-19 9.492e-20 0.0 100.59 0.0
S038379 -22.4834 -39.2239 3.032e-19 3.099e-19 2.332e-19 0.0 100.45 0.0
S038380 -22.4408 -39.1968 9.794e-14 7.569e-14 3.229e-14 0.0 100.03 1.0
S038382 -22.445 -39.1746 1.604e-17 1.171e-17 4.324e-18 0.0 100.24 0.0
S038383 -22.4174 -39.1405 3.499e-18 2.935e-18 1.536e-18 0.0 99.89 0.0
S038384 -22.4411 -39.204 4.777e-14 3.665e-14 1.614e-14 0.0 99.92 1.0
S038386 -22.447 -39.19 1.356e-20 1.833e-20 2.445e-20 0.0 100.54 0.0
S038388 -22.454 -39.1796 3.065e-18 2.598e-18 1.367e-18 0.0 100.55 0.0
S038390 -22.4413 -39.1745 4.243e-19 4.272e-19 3.141e-19 0.0 100.39 0.0
S038391 -22.4316 -39.194 5.170e-22 9.108e-22 2.117e-21 0.0 99.37 0.0
S038392 -22.421 -39.2426 8.819e-19 7.935e-19 4.609e-19 0.0 99.66 0.0
S038394 -22.4555 -39.1744 5.324e-22 9.365e-22 2.131e-21 0.0 100.5 1.0
S038397 -22.4298 -39.1786 1.456e-18 1.264e-18 6.948e-19 0.0 99.6 0.0
S038398 -22.4676 -39.2158 2.652e-19 2.569e-19 1.740e-19 0.0 100.24 0.0
S038399 -22.4626 -39.1842 2.108e-19 2.125e-19 1.581e-19 0.0 100.46 0.0
S038400 -22.3918 -39.122 2.361e-19 2.516e-19 2.056e-19 0.0 99.6 0.0
S038401 -22.4255 -39.1818 2.224e-22 4.303e-22 1.186e-21 0.0 99.5 0.0
S038404 -22.4341 -39.155 3.340e-19 3.296e-19 2.330e-19 0.0 100.14 0.0
S038406 -22.4049 -39.1798 2.802e-21 4.361e-21 7.598e-21 0.0 99.16 0.0
S038408 -22.4166 -39.1844 5.418e-19 8.630e-19 1.643e-18 0.0 99.38 0.0
S038410 -22.471 -39.1887 2.405e-20 2.995e-20 3.447e-20 0.0 100.68 0.0
S038411 -22.409 -39.1772 1.208e-21 1.911e-21 3.710e-21 0.0 99.34 0.0
S038413 -22.4077 -39.1727 3.280e-20 3.888e-20 3.961e-20 0.0 99.3 0.0
S038414 -22.4653 -39.1734 1.255e-20 1.621e-20 1.949e-20 0.0 100.68 0.0
S038415 -22.3893 -39.1933 2.889e-18 2.561e-18 1.430e-18 0.0 99.2 0.0
S038417 -22.4864 -39.1711 1.438e-21 2.211e-21 3.775e-21 0.0 100.64 0.0
S038418 -22.4208 -39.1749 1.042e-20 1.464e-20 2.120e-20 0.0 99.36 0.0
S038420 -22.4583 -39.1781 7.169e-14 5.074e-14 1.888e-14 0.0 100.63 0.0
S038421 -22.4692 -39.1715 1.453e-19 1.562e-19 1.378e-19 0.001 100.61 0.0
S038422 -22.4163 -39.1865 1.570e-19 1.729e-19 1.526e-19 0.0 99.26 0.0
S038423 -22.4112 -39.1951 7.755e-19 7.000e-19 4.057e-19 0.0 99.35 0.0
S038424 -22.4175 -39.1824 8.587e-20 9.680e-20 8.618e-20 0.0 99.46 0.0
S038425 -22.4076 -39.1855 5.196e-18 4.276e-18 2.102e-18 0.0 99.38 0.0
S038426 -22.4027 -39.1778 2.356e-18 2.011e-18 1.034e-18 0.0 99.27 0.0
S038427 -22.3794 -39.1681 3.239e-21 5.047e-21 9.080e-21 0.0 99.19 0.0
S038429 -22.4001 -39.1694 1.669e-21 2.610e-21 4.651e-21 0.0 99.47 0.0
S038430 -22.4793 -39.1949 1.746e-19 1.837e-19 1.436e-19 0.001 100.75 0.0
S038431 -22.4742 -39.1785 1.238e-18 1.120e-18 6.543e-19 0.0 100.51 1.0
S038432 -22.4486 -39.1926 7.183e-19 6.722e-19 4.413e-19 0.0 100.41 0.0
S038433 -22.4792 -39.1869 6.043e-20 7.154e-20 7.010e-20 0.0 100.67 0.0
S038434 -22.4741 -39.189 9.630e-18 7.559e-18 3.488e-18 0.0 100.72 0.0
S038436 -22.4058 -39.184 5.446e-19 1.044e-18 2.847e-18 0.0 99.44 0.0
S038437 -22.3948 -39.1875 1.739e-20 2.264e-20 2.771e-20 0.0 99.36 0.0
S038438 -22.474 -39.192 1.411e-18 2.482e-18 5.760e-18 0.0 100.68 0.0
S038439 -22.4453 -39.1727 1.965e-20 2.727e-20 3.880e-20 0.0 100.32 0.0
S038440 -22.4745 -39.1742 2.703e-21 4.165e-21 7.137e-21 0.0 100.64 0.0
S038442 -22.4964 -39.1845 3.660e-20 4.479e-20 4.834e-20 0.0 100.79 0.0
S038443 -22.4138 -39.1735 8.472e-19 7.656e-19 4.355e-19 0.0 99.41 0.0
S038444 -22.383 -39.1803 1.344e-19 1.534e-19 1.462e-19 0.0 99.24 0.0
S038446 -22.3755 -39.1837 9.596e-18 7.431e-18 3.253e-18 0.0 99.22 1.0
S038447 -22.4702 -39.1952 3.269e-21 4.577e-21 6.814e-21 0.0 100.59 0.0
S038448 -22.4018 -39.1821 1.459e-21 2.342e-21 4.421e-21 0.0 99.14 0.0
S038449 -22.3992 -39.195 8.679e-19 7.884e-19 4.580e-19 0.0 99.32 0.0
S038450 -22.3895 -39.1903 5.465e-18 1.044e-17 2.829e-17 0.0 99.23 0.0
S038451 -22.479 -39.1812 5.301e-20 6.008e-20 5.777e-20 0.0 100.7 0.0
S038452 -22.4817 -39.1869 8.143e-18 6.641e-18 3.218e-18 0.0 100.55 0.0
S038453 -22.4662 -39.1796 6.923e-22 1.231e-21 2.940e-21 0.0 100.67 0.0
S038454 -22.4043 -39.1878 5.301e-18 4.407e-18 2.137e-18 0.0 99.16 0.0
S038455 -22.3976 -39.1953 2.041e-19 2.155e-19 1.788e-19 0.0 99.22 0.0
S038456 -22.4989 -39.2015 5.388e-19 5.092e-19 3.305e-19 0.0 100.7 0.0
S038457 -22.4834 -39.1643 1.496e-18 2.379e-18 4.577e-18 0.0 100.47 0.0
S038458 -22.3768 -39.1747 1.284e-22 2.443e-22 6.738e-22 0.0 98.98 0.0
S038460 -22.482 -39.1888 5.971e-19 5.897e-19 4.245e-19 0.0 100.58 0.0
S038461 -22.3939 -39.1844 9.104e-15 6.080e-15 1.965e-15 0.0 99.32 0.0
S038462 -22.4748 -39.1967 1.923e-18 1.724e-18 9.962e-19 0.0 100.51 0.0
S038463 -22.4549 -39.1782 1.821e-20 2.381e-20 2.827e-20 0.0 100.45 0.0
S038464 -22.3871 -39.1812 3.391e-21 4.989e-21 7.946e-21 0.0 99.31 0.0
S038465 -22.4839 -39.1777 5.482e-20 6.476e-20 6.686e-20 0.0 100.7 0.0
